Source,Title,Published,Author,Link,Summary,Published_Datetime
Wired,"Best Bird Feeders With Cameras, Tested and Reviewed (2026)","Thu, 08 Jan 2026 19:33:19 +0000",Kat Merck,https://www.wired.com/story/best-smart-bird-feeders/,These bird feeders come with cameras and connected apps to let you see and learn about the birds in your neighborhood.,2026-01-08 19:33:19+00:00
Wired,These Bose Noise-Canceling Earbuds Are $50 Off,"Thu, 08 Jan 2026 19:00:11 +0000",Brad Bourque,https://www.wired.com/story/bose-quietcomfort-ultra-earbuds-deal-126/,"With top-quality noise reduction and advanced spatial audio support, these earbuds might come for your AirPods.",2026-01-08 19:00:11+00:00
Wired,AI Devices Are Coming. Will Your Favorite Apps Be Along for the Ride?,"Thu, 08 Jan 2026 19:00:00 +0000",Maxwell Zeff,https://www.wired.com/story/openai-amazon-operating-system-ai-apps-ads/,Tech companies are calling AI the next platform. But some developers are reluctant to let AI agents stand between them and their users.,2026-01-08 19:00:00+00:00
Wired,How to Protest Safely in the Age of Surveillance,"Thu, 08 Jan 2026 17:34:04 +0000","Andy Greenberg, Lily Hay Newman",https://www.wired.com/story/how-to-protest-safely-surveillance-digital-privacy/,Law enforcement has more tools than ever to track your movements and access your communications. Here’s how to protect your privacy if you plan to protest.,2026-01-08 17:34:04+00:00
Wired,People Are Using AI to Falsely Identify the Federal Agent Who Shot Renee Good,"Thu, 08 Jan 2026 16:33:56 +0000",David Gilbert,https://www.wired.com/story/people-are-using-ai-to-falsely-identify-the-federal-agent-who-shot-renee-good/,Online detectives are inaccurately claiming to have identified the federal agent who shot and killed a 37-year-old woman in Minnesota based on AI-manipulated images.,2026-01-08 16:33:56+00:00
Wired,Google Is Adding an ‘AI Inbox’ to Gmail That Summarizes Emails,"Thu, 08 Jan 2026 13:00:00 +0000",Reece Rogers,https://www.wired.com/story/google-ai-inbox-gmail/,"New Gmail features, powered by the Gemini model, are part of Google’s continued push for users to incorporate AI into their daily life and conversations.",2026-01-08 13:00:00+00:00
Wired,Creatine Supplements Are Everywhere. Do I Need Them? (2026),"Thu, 08 Jan 2026 12:30:00 +0000",Boutayna Chokrane,https://www.wired.com/story/should-you-be-taking-creatine-supplements/,"It’s the most studied supplement in sports medicine, but it’s not just for athletes anymore.",2026-01-08 12:30:00+00:00
Wired,2026 Is the Year of the RGB LED TV,"Thu, 08 Jan 2026 12:00:00 +0000",Parker Hall,https://www.wired.com/story/rgb-led-televisions-2026/,"The crop of next-generation TVs arriving this year has more accurate colors than ever, thanks to a fancy new kind of backlighting.",2026-01-08 12:00:00+00:00
The Verge,Google brings buy buttons to Gemini and AI search,2026-01-12T07:44:24-05:00,Robert Hart,https://www.theverge.com/news/860446/google-ai-shopping-standard-buy-button-gemini,"Google turned up the heat in the AI shopping wars this weekend, announcing plans to turn Gemini into a merchant and launching an open-source standard built together with major retailers including Shopify, Walmart, and Target. The move comes as companies like OpenAI, Amazon, and Perplexity jostle for power and influence at the heart of a [&#8230;]",
The Verge,Trump’s fundraisers asked Microsoft for its White House ballroom donation,2026-01-12T05:00:00-05:00,Emma Roth,https://www.theverge.com/news/859578/trump-white-house-ballroom-microsoft-amazon-donations,"The Trump administration approached Microsoft for its donation to fund the White House's $300 million ballroom, documents released by Sen. Elizabeth Warren's (D-MA) office reveal. In response to a Democrat-led letter questioning Big Tech's involvement in the ballroom's construction, Microsoft counsel Karen Christian writes that the company ""was contacted by a fundraiser for the effort [&#8230;]",
The Verge,You need to listen to Billy Woods’ horrorcore masterpiece for the A24 crowd,2026-01-11T18:29:58-05:00,Terrence O’Brien,https://www.theverge.com/column/860372/billy-woods-horrorcore-masterpiece-golliwog-a24,"Billy Woods has one of the highest batting averages in the game. Between his solo records like Hiding Places and Maps, and his collaborative albums with Elucid as Armand Hammer, the man has multiple stone-cold classics under his belt. And, while no one would ever claim that Woods' albums were light-hearted fare (these are not [&#8230;]",
The Verge,Google pulls AI overviews for some medical searches,2026-01-11T14:19:40-05:00,Terrence O’Brien,https://www.theverge.com/news/860356/google-pulls-alarming-dangerous-medical-ai-overviews,"Earlier this month, The Guardian published an investigation that showed Google was serving up misleading and outright false information via its AI overviews in response to certain medical inquiries. Now those results appear to have been removed. According to the original report: In one case that experts described as ""really dangerous"", Google wrongly advised people [&#8230;]",
The Verge,Here are over 20 gadgets that’ll help you achieve your New Year’s resolutions,2026-01-11T14:00:00-05:00,Sheena Vasani,https://www.theverge.com/gadgets/855851/new-years-resolution-gifts-ideas-2026-tech-gadgets-fitness,"It happens every year: we set ambitious New Year's resolutions - work out more, spend less, keep the house cleaner - full of optimism and motivation. Then life happens, and suddenly it's June and you can't recall what your resolutions even were. But it doesn't have to be that way. Sometimes the problem isn't a [&#8230;]",
The Verge,Instagram says it fixed the issue that let someone send all those password reset emails,2026-01-11T12:26:38-05:00,Terrence O’Brien,https://www.theverge.com/news/860337/instagram-fixed-password-reset-emails,"If you're one of the many, many people who received a password reset email from Instagram the other day, the company says it fixed the issue. What was the issue? Unclear. We reached out to Meta for clarification and have yet to receive a response. All we know is that an ""external party"" triggered the [&#8230;]",
The Verge,GameStop is kicking off 2026 by shutting down over 400 stores in 42 states,2026-01-11T11:57:50-05:00,Terrence O’Brien,https://www.theverge.com/news/860329/gamestop-is-kicking-off-2026-by-shutting-down-over-400-stores-in-42-states,"GameStop CEO Ryan Cohen is in line to potentially earn $35 billion in stock options, so long as the company hits a $100 billion market cap. One way to hit that target is by cutting costs, and one way of cutting costs is to close down a bunch of stores. The company closed 590 stores [&#8230;]",
The Verge,Google’s AI Inbox could be a glimpse of Gmail’s future,2026-01-11T10:30:00-05:00,Jay Peters,https://www.theverge.com/tech/859864/google-gmail-ai-inbox-hands-on,"This week, Google announced a new AI Inbox view for Gmail that replaces the traditional list of emails with an AI-generated list of to-dos and topics to track based on what's in your inbox. It's not widely available yet, but I have access, and in the few hours I've spent messing around with it, I [&#8230;]",
The Verge,Wing’s drone delivery is coming to 150 more Walmarts,2026-01-11T10:00:00-05:00,Andrew J. Hawkins,https://www.theverge.com/tech/859724/wing-walmart-drone-delivery-expansion-2027,"Wing is bringing drone delivery to even more Walmart stores in 2026. The Alphabet-owned company announced today that its drones will be flying above 150 more locations this year, including in four new cities: Los Angeles, St. Louis, Miami, and Cincinnati. In June 2025, the companies said they would expand their delivery partnership to 100 [&#8230;]",
The Verge,How TiVo killed live TV,2026-01-11T09:00:16-05:00,David Pierce,https://www.theverge.com/podcast/860321/tivo-tv-streaming-version-history,"For a while, it seemed like everyone had a TiVo. It was a plot point on major TV shows; it had A-list Hollywood fans; it became a verb as ubiquitous as Google or Xerox. The love was well-earned, since TiVo had created a product that felt genuinely like magic. You could pause live TV. And [&#8230;]",
